dev_type,L_um,W_um,source_folder,paper_rrms,paper_sigma
nmos,0.15,1.6,/Users/vaibhavlohiya/Documents/FNAL-CRYOMLPDK/Cryo-Transistor-ML/data/raw/Skywater-130nm-77K-Cryogenic-Models/cryo_data/nmos_FET_len_0p15_wid_1p6,0.059,0.07
nmos,0.19,7.0,/Users/vaibhavlohiya/Documents/FNAL-CRYOMLPDK/Cryo-Transistor-ML/data/raw/Skywater-130nm-77K-Cryogenic-Models/cryo_data/nmos_FET_len_0p19_wid_7,0.097,0.134
nmos,0.25,1.6,/Users/vaibhavlohiya/Documents/FNAL-CRYOMLPDK/Cryo-Transistor-ML/data/raw/Skywater-130nm-77K-Cryogenic-Models/cryo_data/nmos_FET_len_0p25_wid_1p6,0.098,0.11
nmos,1.0,1.6,/Users/vaibhavlohiya/Documents/FNAL-CRYOMLPDK/Cryo-Transistor-ML/data/raw/Skywater-130nm-77K-Cryogenic-Models/cryo_data/nmos_FET_len_1_wid_1p6,0.128,0.165
nmos,1.0,3.0,/Users/vaibhavlohiya/Documents/FNAL-CRYOMLPDK/Cryo-Transistor-ML/data/raw/Skywater-130nm-77K-Cryogenic-Models/cryo_data/nmos_FET_len_1_wid_3,0.16,0.12
nmos,8.0,1.6,/Users/vaibhavlohiya/Documents/FNAL-CRYOMLPDK/Cryo-Transistor-ML/data/raw/Skywater-130nm-77K-Cryogenic-Models/cryo_data/nmos_FET_len_8_wid_1.6,0.147,0.162
nmos,20.0,0.64,/Users/vaibhavlohiya/Documents/FNAL-CRYOMLPDK/Cryo-Transistor-ML/data/raw/Skywater-130nm-77K-Cryogenic-Models/cryo_data/nmos_FET_len_20_wid_0p64,0.13,0.082
nmos,100.0,100.0,/Users/vaibhavlohiya/Documents/FNAL-CRYOMLPDK/Cryo-Transistor-ML/data/raw/Skywater-130nm-77K-Cryogenic-Models/cryo_data/nmos_FET_len_100_wid_100,0.142,0.123
pmos,0.35,0.55,/Users/vaibhavlohiya/Documents/FNAL-CRYOMLPDK/Cryo-Transistor-ML/data/raw/Skywater-130nm-77K-Cryogenic-Models/cryo_data/pmos_FET_len_0p35_wid_0p55,0.701,1.53
pmos,0.35,1.6,/Users/vaibhavlohiya/Documents/FNAL-CRYOMLPDK/Cryo-Transistor-ML/data/raw/Skywater-130nm-77K-Cryogenic-Models/cryo_data/pmos_FET_len_0.35_wid_1.6,0.374,0.801
pmos,0.35,5.0,/Users/vaibhavlohiya/Documents/FNAL-CRYOMLPDK/Cryo-Transistor-ML/data/raw/Skywater-130nm-77K-Cryogenic-Models/cryo_data/pmos_FET_len_0p35_wid_5,0.324,0.484
pmos,0.5,0.42,/Users/vaibhavlohiya/Documents/FNAL-CRYOMLPDK/Cryo-Transistor-ML/data/raw/Skywater-130nm-77K-Cryogenic-Models/cryo_data/pmos_FET_len_0p5_wid_0p42,0.465,0.724
pmos,0.5,0.64,/Users/vaibhavlohiya/Documents/FNAL-CRYOMLPDK/Cryo-Transistor-ML/data/raw/Skywater-130nm-77K-Cryogenic-Models/cryo_data/pmos_FET_len_0p5_wid_0p64,0.322,0.637
pmos,2.0,5.0,/Users/vaibhavlohiya/Documents/FNAL-CRYOMLPDK/Cryo-Transistor-ML/data/raw/Skywater-130nm-77K-Cryogenic-Models/cryo_data/pmos_FET_len_2_wid_5,0.207,0.407
pmos,4.0,7.0,/Users/vaibhavlohiya/Documents/FNAL-CRYOMLPDK/Cryo-Transistor-ML/data/raw/Skywater-130nm-77K-Cryogenic-Models/cryo_data/pmos_FET_len_4_wid_7,0.281,0.432
pmos,8.0,0.84,/Users/vaibhavlohiya/Documents/FNAL-CRYOMLPDK/Cryo-Transistor-ML/data/raw/Skywater-130nm-77K-Cryogenic-Models/cryo_data/pmos_FET_len_8_wid_0p84,0.48,0.902
pmos,8.0,1.6,/Users/vaibhavlohiya/Documents/FNAL-CRYOMLPDK/Cryo-Transistor-ML/data/raw/Skywater-130nm-77K-Cryogenic-Models/cryo_data/pmos_FET_len_8_wid_1p6,0.515,1.05
pmos,8.0,5.0,/Users/vaibhavlohiya/Documents/FNAL-CRYOMLPDK/Cryo-Transistor-ML/data/raw/Skywater-130nm-77K-Cryogenic-Models/cryo_data/pmos_FET_len_8_wid_5,0.388,0.699
