device,bin,paper_card,params15_raw,params15_fd,official_fd,runtime_s
nmos_L0p15_W1p6,0,0.0595,0.0346,0.0319,0.0319,3700.7
nmos_L0p19_W7,1,0.0967,0.0372,0.0368,0.0368,3635.8
nmos_L0p25_W1p6,2,0.0983,0.0439,0.0435,0.0435,1664.0
nmos_L100_W100,7,0.1403,0.1349,0.1325,0.1325,947.7
nmos_L1_W1p6,3,0.1283,0.0642,0.0626,0.0626,314.0
nmos_L1_W3,4,0.1599,0.1527,0.1003,0.1003,351.1
nmos_L20_W0p64,6,0.1283,0.1176,0.1099,0.1099,881.1
nmos_L8_W1p6,5,0.1474,0.0807,0.0795,0.0795,555.2
pmos_L0p35_W0p55,5,0.7270,0.7611,0.6195,0.6195,285.2
pmos_L0p35_W1p6,0,0.3776,0.3998,0.2882,0.2882,416.3
pmos_L0p35_W5,9,0.3291,0.4355,0.2907,0.2907,659.7
pmos_L0p5_W0p42,7,0.4560,0.3433,0.3187,0.3187,173.0
pmos_L0p5_W0p64,4,0.3498,0.3175,0.2975,0.2975,248.6
pmos_L2_W5,11,0.1907,0.1904,0.1622,0.1622,480.5
pmos_L4_W7,2,0.2702,0.3903,0.1993,0.1993,499.8
pmos_L8_W0p84,8,0.4340,0.3845,0.3773,0.3773,226.8
pmos_L8_W1p6,6,0.5433,0.5509,0.4689,0.4689,251.7
pmos_L8_W5,1,0.3146,0.4184,0.2381,0.2381,242.1
